Rank,Title_Lengths,Age_Hours,Points,Comments
2,48,2,177,5
3,51,1,28,6
4,77,2,60,2
5,46,4,51,1
6,47,0,8,0
7,79,0,0,0
8,97,2,34,6
9,51,1,96,2
10,76,1,6,0
11,40,2,21,4
12,94,1,51,4
13,77,3,199,1
14,57,21,520,7
15,98,8,55,3
16,52,2,7,0
17,43,16,605,4
18,61,5,16,0
19,67,24,55,1
20,72,24,424,1
21,93,4,218,1
22,48,6,29,4
23,93,9,57,5
24,59,2,5,0
25,60,14,122,2
26,89,1,30,9
27,37,12,192,6
28,46,4,26,0
29,75,21,100,3
30,101,24,206,6
31,44,24,212,1
32,55,22,102,1
33,67,24,169,6
34,99,22,216,1
35,62,24,518,1
36,89,4,60,2
37,51,21,233,8
38,44,17,86,1
39,94,14,77,5
40,79,1,4,0
41,79,24,782,2
42,45,5,50,1
43,88,16,89,7
44,57,24,102,3
45,81,21,61,5
46,90,3,118,2
47,89,3,23,3
48,27,24,83,4
49,84,0,15,2
50,41,23,85,3
51,37,2,7,0
52,64,24,76,2
53,53,24,235,4
54,44,48,163,6
55,38,21,191,2
56,89,8,79,4
57,94,48,149,2
58,75,48,547,1
59,49,24,124,1
60,72,48,817,2
61,39,24,168,1
62,74,24,389,8
63,74,9,14,1
64,63,24,163,8
65,46,12,5,0
66,94,24,210,7
67,75,14,53,7
68,91,24,137,2
69,50,5,45,4
70,84,2,36,7
71,88,24,21,0
72,80,48,112,2
73,61,24,155,1
74,100,24,139,3
75,87,1,3,0
76,90,48,84,5
77,69,15,94,8
78,60,24,256,2
79,53,22,177,6
80,54,23,78,3
81,93,24,80,2
82,43,48,87,2
83,34,48,378,4
84,80,24,181,5
85,76,14,16,3
86,72,48,242,6
87,72,24,90,4
88,55,48,128,4
89,73,48,434,7
90,57,1,16,0
91,75,48,158,1
92,81,21,63,2
93,63,22,55,5
94,69,48,69,2
95,72,24,11,0
96,84,24,24,5
97,61,48,347,8
98,39,18,8,3
99,93,24,37,2
100,59,24,31,1
101,93,5,106,7
102,35,48,260,3
103,75,4,212,1
104,85,48,817,2
105,74,1,43,8
106,19,21,54,4
107,93,48,1009,1
108,51,21,53,6
109,56,24,105,7
110,88,48,178,1
111,101,24,15,0
112,101,24,11,0
113,68,48,45,2
114,35,12,44,1
115,63,8,16,6
116,68,24,192,1
117,83,24,57,9
118,42,48,182,4
119,64,24,9,0
120,71,24,116,3
121,71,24,116,3
122,72,4,107,8
123,38,24,31,0
124,62,48,27,2
125,47,72,178,1
126,95,24,8,0
127,88,21,26,3
128,56,48,313,2
129,58,24,151,1
130,59,24,169,1
131,87,48,22,0
132,81,24,29,0
133,83,3,171,1
134,54,24,34,6
135,41,48,148,2
136,92,2,8,5
137,57,13,117,1
138,68,24,36,7
139,43,18,13,0
140,66,10,5,0
141,95,21,433,2
142,67,24,95,2
143,59,24,87,1
144,67,4,67,7
145,37,5,8,3
146,73,4,33,3
147,61,48,352,6
148,56,16,11,3
149,58,24,91,4
150,89,24,13,0
1,58,2,179,1
2,48,2,186,5
3,47,0,16,4
4,51,1,30,6
5,77,2,63,2
6,76,1,12,2
7,46,4,52,1
8,79,0,0,0
9,97,2,34,6
10,40,3,24,4
11,94,1,55,5
12,52,2,10,0
13,51,1,100,2
14,77,3,200,1
15,57,21,521,7
16,98,8,58,4
17,43,16,607,4
18,59,2,6,0
19,61,5,17,0
20,93,5,231,1
21,67,24,55,1
22,72,24,425,1
23,48,6,29,4
24,93,9,57,5
25,89,1,32,1
26,60,14,122,2
27,37,12,195,6
28,46,4,28,0
29,75,22,100,3
30,101,24,206,6
31,44,24,213,1
32,55,22,102,1
33,67,24,170,6
34,62,24,518,1
35,99,22,216,1
36,89,4,60,2
37,51,21,233,8
38,44,17,86,1
39,79,1,4,0
40,94,14,77,5
41,79,24,782,2
42,45,5,50,1
43,88,16,89,7
44,57,24,102,3
45,81,22,61,5
46,90,3,118,2
47,27,24,83,4
48,89,3,23,3
49,41,23,86,3
50,37,2,7,0
51,64,24,76,2
52,84,0,16,4
53,53,24,236,4
54,44,48,163,6
55,83,2,3,0
56,38,21,191,2
57,90,2,3,0
58,89,8,79,4
59,94,48,149,2
60,75,48,547,1
61,49,24,124,1
62,72,48,817,2
63,39,24,168,1
64,74,24,389,8
65,74,9,14,1
66,63,24,163,8
67,46,12,5,0
68,94,24,210,7
69,75,14,53,7
70,91,24,137,2
71,50,5,45,4
72,88,24,21,0
73,84,2,36,7
74,80,48,112,2
75,61,24,155,1
76,100,24,139,3
77,90,48,84,5
78,69,15,94,8
79,60,24,256,2
80,87,2,3,0
81,53,22,178,6
82,54,23,78,3
83,93,24,80,2
84,43,48,87,2
85,34,48,378,4
86,80,24,181,5
87,76,14,17,3
88,72,48,242,6
89,55,48,128,4
90,72,24,90,4
91,73,48,435,7
92,75,48,158,1
93,57,1,16,0
94,81,21,63,2
95,63,22,55,5
96,69,48,69,2
97,72,24,12,0
98,84,24,24,5
99,61,48,347,8
100,39,19,8,3
101,93,24,37,2
102,59,24,31,1
103,35,48,260,3
104,93,5,106,7
105,75,4,212,1
106,85,48,817,2
107,93,48,1009,1
108,19,21,54,4
109,51,21,53,6
110,56,24,105,7
111,74,1,43,8
112,88,48,178,1
113,101,24,15,0
114,101,24,11,0
115,68,48,45,2
116,35,12,44,1
117,68,24,192,1
118,63,8,16,6
119,83,24,57,9
120,42,48,182,4
121,64,24,9,0
122,71,24,116,3
123,38,24,31,0
124,62,48,27,2
125,47,72,178,1
126,72,4,107,8
127,95,24,8,0
128,88,21,26,3
129,56,48,313,2
130,53,3,260,2
131,58,24,151,1
132,59,24,169,1
133,87,48,22,0
134,81,24,29,0
135,56,16,12,3
136,41,48,148,2
137,54,24,34,6
138,68,24,36,7
139,83,3,172,1
140,57,13,117,1
141,43,18,13,0
142,73,4,34,3
143,66,11,5,0
144,92,2,8,5
145,95,21,433,2
146,67,24,95,2
147,59,24,87,1
148,67,4,67,7
149,37,6,8,3
150,61,48,352,6
